#zs, m1, m2, SNR 
10.840 17.273 11.452 16.007
5.134 6.770 6.496 3.582
8.118 36.013 30.751 30.385
2.214 35.512 12.807 19.402
8.118 9.382 6.243 3.822
3.270 7.737 6.412 9.853
2.291 5.825 5.472 7.884
4.494 6.575 5.380 5.492
10.840 6.823 6.107 5.174
5.134 6.477 5.907 6.953
2.652 10.955 5.916 11.321
3.270 14.905 11.536 13.956
3.997 9.204 8.902 9.567
1.944 17.198 14.154 46.248
3.599 60.574 41.730 16.677
6.560 14.403 11.598 7.876
2.994 5.445 5.196 5.857
4.231 23.528 15.836 22.407
2.872 24.432 13.099 8.792
5.999 7.876 5.085 7.498
4.792 28.062 18.859 10.057
0.656 5.572 5.107 38.820
1.625 5.525 5.310 6.341
3.127 6.858 6.370 4.672
8.118 6.493 6.240 10.024
1.535 5.494 5.372 7.670
2.652 8.559 7.314 12.224
1.625 7.160 5.269 14.546
3.997 5.354 5.214 1.979
3.788 14.119 10.888 13.155
4.792 16.239 16.203 3.197
2.758 12.824 9.208 7.678
5.134 6.767 5.444 3.191
5.999 5.279 5.080 3.178
2.373 6.676 5.336 9.814
3.788 5.629 5.191 6.690
4.792 11.381 7.365 6.377
8.118 5.585 5.079 1.904
2.460 7.190 6.499 6.045
5.134 6.952 5.111 5.430
3.788 12.819 9.203 5.039
3.599 6.182 5.835 15.821
5.531 5.724 5.479 5.933
5.531 8.854 8.366 15.862
6.560 5.059 5.034 7.769
6.560 11.851 8.562 9.608
9.259 6.017 5.867 1.655
1.625 5.177 5.168 9.159
13.214 8.270 5.699 5.537
2.758 5.552 5.404 5.422
1.773 6.645 5.683 16.455
4.792 59.388 15.181 8.682
13.214 10.097 9.553 6.871
5.531 66.370 31.878 34.688
1.773 13.487 10.584 36.309
8.118 6.801 5.545 7.212
4.494 8.277 7.821 11.238
4.231 5.776 5.667 1.848
2.460 42.357 12.334 35.566
2.373 5.093 5.007 11.241
17.296 8.297 6.109 3.120
3.127 5.312 5.258 1.504
2.214 5.639 5.431 16.386
13.214 5.985 5.600 1.958
5.134 42.206 30.617 32.287
5.999 11.721 7.534 6.285
3.788 9.061 5.597 6.499
3.270 5.109 5.045 5.455
6.560 16.477 5.026 6.211
1.414 5.188 5.030 10.482
5.999 10.440 5.941 9.653
3.427 6.053 5.922 5.195
9.259 8.243 7.065 4.061
9.259 19.119 16.169 3.565
2.652 7.412 5.179 10.957
2.460 7.011 6.523 10.383
8.118 9.324 8.870 3.297
3.127 5.290 5.141 1.656
4.792 9.641 8.802 3.203
2.758 6.215 6.174 5.511
2.758 5.438 5.242 12.980
2.872 19.928 15.160 9.967
0.434 5.736 5.401 26.564
1.827 16.163 6.029 13.081
6.560 5.056 5.034 5.908
1.944 11.182 6.034 5.638
4.231 5.710 5.139 13.075
10.840 9.475 7.139 11.424
8.118 6.127 5.499 9.347
1.579 12.245 11.208 8.691
3.599 6.541 5.880 4.071
1.535 15.526 15.004 5.665
5.531 18.035 5.367 5.830
10.840 5.189 5.098 4.108
3.270 8.955 6.241 6.761
8.118 10.751 6.135 8.148
5.134 5.779 5.246 2.077
5.999 16.732 8.151 3.057
9.259 15.735 7.231 4.748
2.758 8.834 6.439 8.425
3.788 22.140 10.106 11.169
3.127 5.939 5.595 9.127
3.427 59.926 13.131 38.475
10.840 6.529 5.399 1.845
2.460 9.032 6.371 1.739
5.134 9.169 8.254 3.488
5.134 18.879 12.407 9.255
13.214 11.050 8.239 3.685
2.373 31.786 27.962 41.664
9.259 49.706 27.936 10.631
3.997 5.063 5.039 1.616
5.531 9.230 5.427 0.143
9.259 5.872 5.013 2.493
2.460 5.419 5.105 13.898
7.248 6.549 6.238 2.795
13.214 10.126 7.006 4.666
3.788 9.886 6.796 8.331
1.376 5.327 5.266 15.982
10.840 10.161 6.092 10.071
0.606 13.563 9.010 78.793
3.270 6.568 5.548 10.007
3.127 19.997 16.794 30.309
4.792 23.335 16.991 25.458
3.599 12.213 7.213 12.105
5.999 6.423 5.790 7.112
1.672 5.872 5.732 14.291
2.006 5.479 5.271 5.445
2.652 7.626 5.972 13.226
7.248 6.279 6.161 4.812
2.460 7.090 5.957 10.083
2.141 11.659 5.489 10.543
0.890 47.580 33.743 98.411
4.792 7.948 5.083 8.570
