count_i, smass, sfr, m_age, l_age, AV, E(B-V) 
1 5.461 -3.854 0.246 -0.299 0.063 0.1873
10 5.644 -3.545 0.218 -0.394 0.144 0.2155
100 6.313 -3.395 -0.047 -0.410 0.323 0.2365
1000 6.793 -3.370 -0.147 -0.384 0.934 0.4303
1001 5.939 -3.009 0.169 -1.161 0.375 0.1130
1002 6.429 -2.213 -0.112 -1.202 0.628 0.2159
1003 7.174 -3.328 0.065 -0.063 1.316 0.7722
1004 7.057 -2.841 0.397 -0.232 0.818 0.4704
1005 7.110 -3.030 -0.046 -0.209 0.476 0.4033
1006 7.409 -2.990 0.079 -0.077 3.551 1.4670
1007 6.764 -2.287 -0.222 -0.977 0.469 0.2137
1008 7.001 -1.309 -0.413 -0.873 1.181 0.4278
1009 6.971 -1.325 -0.501 -0.898 0.555 0.2600
101 5.572 -3.842 0.198 -0.306 0.070 0.0030
1010 6.954 -1.753 0.119 -1.110 0.814 0.2498
1011 7.525 -2.957 0.010 -0.295 0.918 0.4331
1012 7.850 -2.855 0.454 0.380 1.004 0.7882
1013 7.352 -0.980 -0.404 -0.828 1.181 0.4247
1014 7.709 -2.793 -0.403 -0.515 1.517 0.5689
1015 7.794 -3.453 0.203 0.096 0.227 0.5466
1016 7.573 -1.013 -0.373 -0.702 1.181 0.4571
1017 7.762 -2.938 0.086 -0.028 0.569 0.5424
1018 7.802 -2.916 0.043 -0.027 0.558 0.5758
1019 7.810 -3.072 0.096 -0.006 0.496 0.5523
102 6.136 -3.151 0.159 -0.431 3.717 1.5609
1020 7.825 -3.231 0.060 -0.032 0.679 0.5998
1021 7.799 -2.536 -0.346 -0.500 1.822 0.6458
1022 7.848 -3.081 0.362 0.230 0.453 0.5596
1023 7.641 -2.871 -0.304 -0.430 1.067 0.4441
1024 7.822 -2.888 0.480 0.376 0.873 0.7434
1025 7.571 -2.358 0.185 0.025 0.400 0.4854
1026 7.781 -3.231 0.471 0.411 1.063 0.8960
1027 7.112 -1.250 -0.260 -0.808 0.769 0.3181
1028 6.780 -1.655 -0.340 -1.234 1.223 0.3165
1029 7.306 -3.379 0.133 -0.004 0.314 0.4931
103 5.687 -3.602 0.251 -0.398 3.615 1.1364
1030 7.351 -2.401 0.327 0.103 0.705 0.5585
1031 6.290 -2.540 0.102 -1.340 0.598 0.1605
1032 5.987 -2.878 0.135 -1.213 3.884 1.0594
1033 7.388 -3.078 0.444 0.321 2.238 1.1479
1034 6.166 -2.627 0.018 -1.234 0.335 0.1214
1035 6.561 -1.841 -0.183 -0.805 0.367 0.2274
1036 6.459 -1.988 -0.229 -0.788 0.533 0.2421
1037 6.914 -3.263 0.320 0.080 1.514 0.7702
1038 6.511 -1.982 -0.079 -0.789 1.694 0.5929
1039 6.075 -2.704 0.104 -0.904 0.410 0.1386
104 5.801 -3.091 0.116 -0.632 0.072 0.1890
1040 6.018 -2.792 0.098 -0.768 0.348 0.1469
1041 6.221 -3.133 0.331 -0.199 1.221 0.5568
1042 5.823 -3.272 0.154 -0.537 0.063 -0.0435
1043 5.627 -3.748 0.235 -0.289 2.514 1.2455
1044 5.946 -3.368 0.134 -0.342 2.259 0.8056
1045 5.339 -4.081 0.275 -0.191 3.801 1.2512
1046 6.219 -2.911 0.157 -0.495 0.745 0.4080
1047 5.916 -3.233 0.198 -0.470 0.275 0.2660
1048 6.259 -3.408 0.031 -0.418 0.601 0.3265
1049 6.026 -2.791 0.085 -0.797 0.128 0.0479
105 6.949 -1.776 0.084 -1.200 2.606 0.7683
1050 6.078 -2.987 0.156 -0.921 0.471 0.1574
1051 6.447 -2.097 -0.068 -1.088 2.754 0.7644
1052 7.017 -3.433 0.136 0.018 3.855 1.6098
1053 6.417 -2.521 0.195 -0.876 0.635 0.2224
1054 6.988 -3.102 0.432 0.239 1.512 0.8508
1055 6.110 -2.596 0.031 -1.211 0.239 0.0908
1056 6.592 -2.902 -0.146 -0.826 0.852 0.3250
1057 6.414 -2.504 0.186 -1.172 1.496 0.4705
1058 6.926 -3.131 -0.237 -0.431 0.721 0.3564
1059 7.615 -2.633 0.438 0.160 3.510 1.5262
106 5.646 -3.747 0.259 -0.357 3.705 1.1815
1060 6.706 -2.536 -0.199 -1.033 0.722 0.2561
1061 6.433 -2.476 0.078 -1.260 0.799 0.2482
1062 7.523 -2.799 0.443 0.295 1.611 0.9269
1063 7.445 -3.829 0.174 0.084 0.323 0.5612
1064 6.533 -2.006 -0.187 -1.425 0.323 0.0643
1065 7.609 -3.439 0.074 -0.011 0.657 0.6011
1066 7.395 -0.936 -0.610 -0.861 1.797 0.6036
1067 7.849 -2.867 0.039 -0.042 1.647 0.8871
1068 7.948 -3.063 0.469 0.409 0.308 0.7447
1069 7.511 -0.971 -0.244 -0.803 0.901 0.3584
107 5.391 -3.923 0.245 -0.269 0.118 0.2207
1070 8.098 -3.261 0.460 0.419 0.502 0.7997
1071 7.974 -2.687 0.074 -0.011 1.162 0.7272
1072 7.829 -2.620 -0.356 -0.472 1.048 0.4228
1073 7.717 -0.859 -0.213 -0.623 1.182 0.4988
1074 7.669 -0.838 -0.330 -0.733 1.063 0.4207
1075 8.052 -2.871 0.091 0.013 1.688 0.9102
1076 7.854 -2.995 -0.365 -0.492 1.489 0.5665
1077 7.817 -2.640 0.055 -0.047 0.802 0.6066
1078 7.956 -3.066 0.466 0.402 0.360 0.7477
1079 7.796 -2.825 0.347 0.183 0.885 0.6850
108 5.599 -3.778 0.219 -0.302 0.312 0.1713
1080 7.621 -2.735 0.019 -0.122 0.836 0.6134
1081 7.234 -1.109 -0.391 -0.813 1.024 0.3889
1082 7.495 -3.132 0.197 0.077 0.287 0.5292
1083 6.438 -2.369 0.039 -1.361 0.432 0.1162
1084 6.785 -2.469 0.286 -0.824 1.166 0.4314
1085 7.765 -2.548 0.471 0.322 3.725 1.6090
1086 7.495 -3.141 0.050 -0.068 3.115 1.2860
1087 7.638 -2.916 0.451 0.345 3.213 1.4561
1088 7.233 -2.452 0.151 -0.266 1.910 0.7684
1089 6.739 -1.690 -0.262 -0.821 1.082 0.3583
109 6.287 -3.020 0.276 -0.618 3.660 1.1030
1090 6.483 -2.042 -0.177 -1.169 1.149 0.3118
1091 6.237 -2.402 -0.063 -0.987 0.266 0.0535
1092 6.136 -2.615 0.116 -0.850 0.088 0.1170
1093 6.211 -2.425 0.010 -0.910 0.236 0.0751
1094 6.036 -2.918 0.117 -1.124 3.828 1.1015
1095 6.001 -2.999 0.097 -1.105 0.354 0.1384
1096 6.362 -3.355 -0.026 -0.405 0.267 0.2514
1097 5.972 -2.768 0.074 -0.858 0.086 0.0375
1098 6.032 -2.592 -0.036 -0.999 0.124 0.0872
1099 6.124 -2.760 0.122 -0.886 3.640 1.0480
11 5.284 -4.124 0.273 -0.181 0.240 0.1898
110 6.148 -2.637 0.127 -0.834 0.132 0.0905
1101 6.296 -2.471 0.070 -0.494 1.065 0.3874
1102 6.601 -3.384 0.097 -0.128 1.199 0.6683
1103 6.022 -3.528 0.111 -0.307 0.521 0.3464
1104 6.229 -2.508 0.038 -0.884 1.541 0.4525
1105 6.089 -2.969 0.099 -0.972 0.636 0.2096
1106 5.241 -4.208 0.289 -0.155 3.931 1.3034
1107 6.221 -2.993 0.115 -0.803 0.554 0.2354
1108 6.701 -2.608 0.044 -0.677 3.488 1.1497
1109 6.573 -2.869 -0.027 -0.755 0.722 0.3101
111 5.569 -3.908 0.231 -0.258 0.304 0.1443
1110 6.643 -3.295 -0.134 -0.398 0.384 0.2655
1111 6.284 -2.366 -0.036 -1.495 3.002 0.8003
1112 6.443 -2.247 -0.026 -1.082 0.294 0.0878
1113 7.167 -2.856 0.010 -0.203 1.400 0.7308
1114 7.565 -3.067 0.453 0.359 2.129 1.1418
1115 7.736 -2.753 0.470 0.360 3.153 1.4686
1116 7.174 -2.351 -0.157 -0.632 1.853 0.7217
1117 6.976 -1.337 -0.550 -0.875 0.828 0.3213
1118 6.658 -2.182 0.061 -1.293 1.912 0.6929
1119 7.394 -1.554 -0.090 -0.524 0.947 0.4502
112 5.889 -3.019 0.064 -0.709 0.631 0.4429
1120 7.773 -2.746 0.413 0.303 0.761 0.6532
1121 7.766 -2.948 0.092 -0.008 0.806 0.6386
1122 7.798 -2.974 -0.365 -0.487 1.658 0.6057
1123 7.448 -0.865 -0.614 -1.026 1.198 0.3871
1124 7.577 -0.703 -0.589 -0.881 1.207 0.4233
1125 8.154 -2.594 0.456 0.362 0.382 0.7196
1126 8.102 -1.840 0.327 0.150 0.574 0.5825
1127 8.027 -2.463 0.069 -0.050 0.424 0.5150
1128 8.276 -2.740 0.447 0.387 0.844 0.7645
1129 8.075 -2.703 0.042 -0.065 0.862 0.6315
113 5.575 -3.619 0.222 -0.365 0.156 0.1211
1130 8.029 -2.402 0.257 -0.086 0.590 0.4121
1131 7.894 -2.628 -0.359 -0.478 1.188 0.4736
1132 7.916 -2.568 0.025 -0.077 0.682 0.6126
1133 7.439 -0.885 -0.422 -0.877 1.146 0.4163
1134 7.789 -3.108 0.034 -0.017 0.947 0.6912
1135 7.725 -2.991 0.056 -0.041 0.999 0.7007
1136 7.583 -2.969 0.108 -0.010 0.308 0.4933
1137 7.758 -2.913 0.450 0.352 1.850 1.0461
1138 7.723 -2.990 0.449 0.375 1.762 1.0450
1139 6.845 -1.765 0.020 -1.112 1.106 0.3135
114 5.967 -3.558 0.102 -0.388 0.360 0.2571
1140 6.907 -1.640 -0.236 -0.960 0.871 0.2865
1141 6.968 -1.453 -0.296 -0.781 1.004 0.4000
1142 6.524 -2.448 0.135 -1.216 1.413 0.3891
1143 6.819 -1.624 -0.363 -1.230 2.865 0.7930
1144 7.268 -3.060 0.444 0.238 1.201 0.7189
1145 6.223 -2.499 0.054 -1.085 0.561 0.1480
1146 6.600 -2.000 -0.122 -1.058 2.138 0.6432
1147 6.798 -3.054 0.074 -0.177 0.707 0.5154
1148 6.582 -2.705 0.077 -0.249 0.516 0.3755
1149 5.876 -2.943 0.163 -1.309 3.912 1.0659
115 5.512 -3.684 0.244 -0.344 0.135 -0.0223
1150 6.343 -2.172 -0.157 -0.729 0.412 0.2343
1151 5.734 -3.106 0.121 -0.720 0.168 0.1664
1152 6.188 -3.314 0.083 -0.330 0.487 0.3608
1153 6.270 -2.352 -0.045 -1.056 3.361 0.9215
1154 6.214 -3.247 -0.023 -0.475 1.345 0.5204
1155 5.352 -4.026 0.269 -0.221 3.578 1.7458
1156 6.221 -2.977 0.157 -0.446 2.080 0.7653
1157 6.793 -3.324 0.397 0.205 2.657 1.2478
1158 5.391 -3.998 0.247 -0.219 2.114 1.0584
1159 5.724 -3.362 0.188 -0.543 0.435 0.2459
116 5.684 -3.528 0.211 -0.378 0.283 0.0781
1160 5.946 -2.736 0.017 -0.938 0.127 0.0791
1161 6.086 -2.711 0.147 -0.965 0.441 0.1521
1162 6.718 -2.815 0.029 -0.337 0.745 0.5116
1163 6.634 -2.866 -0.102 -0.791 1.033 0.4031
1164 6.384 -2.262 -0.151 -1.001 0.290 0.1831
1165 6.898 -3.459 -0.111 -0.294 0.505 0.3903
1166 7.267 -3.179 0.071 -0.044 2.591 1.1436
1167 6.901 -1.740 0.176 -0.489 0.911 0.4095
1168 6.851 -1.520 -0.351 -0.802 0.937 0.3627
1169 5.917 -2.719 0.029 -1.429 3.963 1.4915
117 5.870 -3.671 0.103 -0.323 0.208 0.2534
1170 6.379 -2.538 0.125 -1.223 0.250 0.0657
1171 6.906 -1.723 -0.321 -1.071 1.195 0.3238
1172 7.153 -1.265 -0.269 -0.767 0.875 0.3699
1173 7.545 -2.984 0.183 0.061 0.528 0.4987
1174 7.536 -3.010 0.015 -0.060 0.318 0.4767
1175 7.699 -3.145 0.054 -0.039 0.845 0.6507
1176 7.708 -2.921 -0.375 -0.481 1.105 0.4381
1177 7.891 -2.592 0.065 -0.059 0.905 0.6314
1178 7.689 -0.802 -0.492 -0.786 1.140 0.4211
1179 8.076 -2.999 0.131 0.061 0.776 0.6472
118 5.297 -4.167 0.290 -0.150 3.949 1.3158
1180 7.987 -0.630 0.188 -0.455 1.251 0.5082
1181 8.213 -2.554 0.043 -0.026 0.750 0.6438
1182 8.337 -2.779 0.366 0.265 0.622 0.6431
1183 8.264 -2.551 0.047 -0.036 0.748 0.6326
1184 8.295 -2.775 0.271 0.186 0.657 0.6376
1185 8.176 -2.723 0.120 0.028 0.610 0.6113
1186 8.207 -3.096 0.431 0.352 0.728 0.7085
1187 7.654 -0.645 -0.588 -0.886 1.459 0.5045
1188 7.895 -2.763 0.042 -0.047 0.957 0.6809
1189 7.787 -3.251 0.132 0.051 0.413 0.5529
119 5.547 -3.931 0.298 -0.173 3.506 1.1738
1190 7.816 -3.153 0.365 0.264 0.558 0.6576
1191 7.048 -1.381 -0.236 -1.256 1.230 0.3241
1192 7.737 -2.909 0.447 0.345 1.174 0.7747
1193 7.380 -1.195 -0.319 -0.701 2.058 0.6785
1194 7.290 -1.826 0.345 -0.422 1.142 0.4374
1195 7.348 -2.952 0.011 -0.125 0.416 0.5112
1196 6.642 -2.193 -0.055 -1.315 2.693 0.7665
1197 7.220 -2.704 -0.274 -0.563 1.664 0.5772
1198 6.596 -1.887 -0.302 -1.268 1.136 0.2825
1199 7.007 -1.800 0.119 -0.490 0.997 0.4703
12 5.800 -3.333 0.162 -0.547 2.592 0.9150
120 5.559 -3.704 0.243 -0.291 3.311 1.1903
1200 6.508 -2.092 -0.156 -1.209 1.381 0.3813
1201 6.627 -1.962 -0.057 -1.113 2.017 0.5015
1202 6.870 -3.176 0.390 0.107 1.496 0.7436
