count_i, smass, sfr, m_age, l_age, AV 
0 5.308 -4.027 0.284 -0.438 3.939
1 5.380 -3.812 0.237 -0.522 0.181
10 5.199 -4.264 0.292 -0.132 4.001
100 5.221 -4.210 0.286 -0.153 3.606
1000 6.374 -3.861 0.084 -0.052 3.414
10000 5.373 -3.785 0.247 -0.437 0.074
10001 5.770 -4.002 0.356 -0.012 2.383
10002 5.402 -3.762 0.230 -0.502 0.677
10003 5.601 -3.657 0.289 -0.601 3.584
10004 5.527 -3.725 0.251 -0.433 3.928
10005 5.693 -3.561 0.178 -0.764 3.542
10006 5.692 -3.028 0.106 -0.635 1.390
10007 5.480 -3.724 0.272 -0.709 1.660
10008 5.430 -3.579 0.206 -1.050 3.920
10009 5.516 -3.532 0.240 -0.994 3.941
1001 5.684 -3.349 0.214 -1.008 2.996
10010 5.455 -3.569 0.226 -1.012 3.919
10011 5.684 -3.563 0.260 -0.761 3.482
10012 5.250 -4.195 0.279 -0.174 0.926
10013 5.824 -3.836 0.364 -0.057 1.027
10014 5.197 -4.264 0.294 -0.135 3.998
10015 6.064 -2.403 -0.067 -0.706 3.248
10016 5.199 -4.264 0.298 -0.124 4.000
10017 5.433 -3.643 0.225 -0.916 1.512
10018 6.219 -3.937 0.270 0.066 3.781
10019 5.432 -3.905 0.272 -0.454 3.914
1002 5.620 -3.257 0.143 -0.823 1.593
10020 5.369 -3.746 0.272 -0.848 3.965
10021 6.316 -3.927 0.139 -0.005 3.884
10022 5.303 -3.834 0.253 -0.829 3.978
10023 5.510 -3.899 0.267 -0.199 1.372
10024 5.911 -3.497 0.125 -0.366 2.735
10025 5.809 -2.862 0.058 -0.945 2.743
10026 6.263 -3.453 0.420 0.061 1.809
10027 5.201 -4.263 0.288 -0.133 3.999
10028 5.973 -3.714 0.366 -0.262 1.231
10029 5.565 -3.341 0.160 -1.185 3.949
1003 5.884 -2.602 -0.074 -0.910 3.153
10030 5.360 -3.987 0.277 -0.491 3.967
10031 5.241 -4.187 0.290 -0.152 3.902
10032 5.377 -3.810 0.252 -0.712 3.942
10033 6.136 -4.006 0.437 0.234 3.552
10034 5.594 -3.300 0.163 -1.209 3.657
10035 5.862 -2.863 0.069 -0.890 1.501
10036 5.218 -4.236 0.288 -0.143 3.989
10037 5.703 -3.532 0.236 -0.386 2.109
10038 6.044 -3.415 0.384 -0.568 3.928
10039 5.663 -3.286 0.186 -1.148 3.750
1004 5.571 -3.369 0.199 -1.143 2.967
10040 5.757 -3.564 0.075 -0.759 1.350
10041 6.188 -3.703 -0.119 -0.505 2.893
10042 5.782 -3.492 0.258 -0.714 1.077
10043 6.349 -3.804 0.413 0.177 1.422
10044 5.336 -3.954 0.294 -0.606 3.971
10045 5.650 -3.508 0.234 -0.760 1.224
10046 5.274 -4.094 0.277 -0.385 3.977
10047 5.822 -3.531 0.307 -0.650 2.317
10048 5.654 -3.427 0.198 -0.991 2.754
10049 6.318 -3.792 0.430 0.217 1.084
1005 5.614 -3.180 0.127 -0.945 1.211
10050 5.367 -3.574 0.213 -1.145 3.974
10051 5.585 -3.346 0.207 -1.146 3.019
10052 5.663 -3.219 0.156 -1.157 3.653
