#ID, RA, Dec, spec_z, photo_z
141943.58+525431.3 214.93160692630738 52.90871362182564 3.442 -99
142005.59+530036.7 215.0233219305857 53.01020458328741 1.646 -99
142008.61+530004.0 215.03590035000232 53.00111935271983 2.588 -99
aegis_533 214.87553 52.866464 -99.0 0.177
aegis_535 214.87419 52.868454 0.37 0.305
aegis_563 214.90516 52.891541 -99.0 2.506
aegis_578 214.85028 52.905529 1.032 0.938
aegis_582 214.88322 52.906899 -99.0 1.175
aegis_585 214.93166 52.908708 3.435 3.364
aegis_589 214.85927 52.911541 0.527 2.195
aegis_593 214.8752 52.913487 -99.0 0.751
aegis_599 214.91516 52.918698 0.755 0.776
aegis_618 214.91608 52.937389 0.745 0.685
aegis_628 214.91317 52.945571 1.177 1.222
aegis_635 214.91309 52.949364 -99.0 1.128
aegis_616 214.96201 52.937099 0.756 0.758
aegis_630 214.94242 52.946501 -99.0 2.218
aegis_642 214.95546 52.951317 1.282 1.237
aegis_660 214.97703 52.962319 -99.0 1.057
aegis_664 214.93089 52.963442 1.104 1.114
aegis_683 214.94779 52.974963 -99.0 1.959
aegis_707 214.97619 52.99156 -99.0 1.307
aegis_712 215.01108 52.992555 1.241 1.504
aegis_721 215.0086 52.997354 0.912 0.909
aegis_723 215.05327 52.998096 1.245 1.356
aegis_726 215.04556 52.999547 1.39 1.58
aegis_742 215.02339 53.010207 1.644 1.74
aegis_715 215.01187 52.995554 0.915 0.917
aegis_463 214.7768 52.825876 2.274 2.24
aegis_465 214.74245 52.826187 -99.0 3.019
aegis_470 214.74942 52.829547 -99.0 1.776
aegis_471 214.75108 52.830052 -99.0 1.889
aegis_474 214.73503 52.831935 -99.0 1.58
aegis_480 214.76423 52.835289 -99.0 2.112
aegis_481 214.78571 52.83608 0.558 2.304
aegis_482 214.75522 52.836795 3.465 3.345
aegis_487 214.78539 52.84028 0.445 1.125
aegis_512 214.83072 52.856521 -99.0 0.272
aegis_520 214.83917 52.860113 -99.0 2.168
aegis_525 214.85389 52.861419 -99.0 1.696
aegis_529 214.79279 52.864219 0.082 0.101
aegis_532 214.8506 52.866459 -99.0 2.315
aegis_538 214.7938 52.869041 -99.0 2.946
aegis_540 214.81535 52.870976 0.452 0.485
aegis_443 214.82918 52.808436 0.168 1.548
aegis_444 214.7934 52.808554 0.346 0.29
aegis_450 214.86344 52.815592 -99.0 1.556
aegis_453 214.86539 52.818906 0.633 1.601
aegis_455 214.80862 52.819169 0.825 0.794
aegis_457 214.80469 52.819835 0.751 2.038
aegis_460 214.81224 52.824836 1.197 1.251
aegis_477 214.87073 52.833117 2.317 2.136
aegis_485 214.88598 52.839642 -99.0 1.947
aegis_495 214.87124 52.845067 -99.0 3.422
aegis_503 214.90834 52.849257 -99.0 1.553
aegis_508 214.92068 52.851958 -99.0 0.949
aegis_509 214.89874 52.85251 -99.0 2.214
aegis_511 214.89561 52.856516 -99.0 2.748
aegis_514 214.86994 52.857278 1.361 0.461
