count_i, smass, sfr, m_age, l_age, AV 
0 5.307 -4.081 0.276 -0.415 3.946
1 5.580 -3.829 0.156 -0.332 0.083
10 5.199 -4.265 0.295 -0.129 3.999
100 5.229 -4.231 0.286 -0.135 3.973
1000 6.061 -3.269 0.122 -0.170 0.975
10000 5.499 -3.935 0.275 -0.148 0.135
10001 5.536 -3.994 0.210 -0.156 1.022
10002 5.555 -3.573 0.231 -0.848 3.847
10003 5.521 -3.978 0.207 -0.299 0.807
10004 5.548 -3.869 0.289 -0.170 2.669
10005 5.668 -3.474 0.186 -0.805 3.559
10006 5.646 -3.125 0.149 -0.457 0.188
10007 5.467 -3.614 0.234 -0.611 0.126
10008 6.234 -3.785 0.422 0.194 2.577
10009 5.393 -3.763 0.225 -0.808 0.424
1001 5.666 -3.040 0.078 -0.682 0.426
10010 5.663 -3.666 0.272 -0.610 2.110
10011 5.471 -3.814 0.270 -0.635 0.313
10012 5.240 -4.213 0.283 -0.153 0.066
10013 5.643 -3.968 0.049 -0.335 0.079
10014 5.199 -4.264 0.299 -0.126 4.001
10015 5.734 -2.957 0.113 -0.558 0.335
10016 5.199 -4.262 0.305 -0.122 4.000
10017 5.600 -3.241 0.169 -0.723 0.506
10018 6.232 -3.737 0.355 0.131 3.647
10019 5.450 -3.940 0.271 -0.417 3.901
1002 5.539 -3.134 0.099 -0.580 0.116
10020 5.409 -3.867 0.248 -0.649 1.431
10021 6.223 -3.950 0.138 -0.031 2.559
10022 5.724 -3.534 0.302 -0.659 3.927
10023 5.439 -4.005 0.260 -0.179 0.359
10024 5.720 -3.844 0.063 -0.368 0.116
10025 5.893 -2.843 0.220 -0.398 0.938
10026 6.054 -3.481 0.277 -0.018 0.451
10027 5.861 -4.142 0.418 0.221 3.986
10028 5.972 -3.985 0.078 -0.141 0.147
10029 5.676 -3.516 0.194 -0.840 1.491
1003 5.736 -2.897 0.064 -0.583 0.706
10030 5.541 -3.459 0.229 -0.942 3.935
10031 5.231 -4.215 0.292 -0.137 3.894
10032 5.495 -3.708 0.194 -0.425 3.024
10033 5.735 -3.282 0.209 -0.568 2.907
10034 5.457 -3.540 0.198 -0.986 0.222
10035 5.934 -2.811 0.187 -0.820 1.911
10036 5.337 -3.674 0.237 -1.028 3.978
10037 5.580 -3.940 0.159 -0.305 0.084
10038 6.460 -3.651 0.454 0.267 2.487
10039 5.593 -3.561 0.250 -0.879 0.599
1004 5.977 -2.527 -0.033 -0.701 2.057
10040 5.984 -3.894 -0.068 -0.369 0.149
10041 6.196 -3.456 0.378 -0.058 1.201
10042 6.086 -3.953 -0.059 -0.333 0.102
10043 5.814 -2.936 0.137 -0.826 0.690
10044 5.481 -3.350 0.188 -1.268 3.978
10045 5.705 -3.102 0.132 -0.743 0.212
10046 5.412 -3.482 0.212 -1.170 3.972
10047 6.186 -3.884 0.431 0.211 0.683
10048 5.665 -3.255 0.167 -0.780 0.386
10049 5.999 -3.819 -0.127 -0.458 0.163
1005 5.588 -3.181 0.137 -0.858 0.114
10050 5.567 -3.441 0.173 -1.062 2.535
10051 5.477 -3.444 0.199 -0.977 0.135
10052 5.586 -3.470 0.192 -1.016 0.874
10053 6.029 -3.509 0.297 -0.417 2.708
10054 5.488 -3.383 0.183 -0.683 0.103
10055 5.400 -3.703 0.242 -0.786 0.164
10056 6.023 -3.986 0.081 -0.117 0.136
10057 5.571 -3.566 0.192 -0.903 2.827
10058 5.747 -3.815 0.082 -0.335 0.254
10059 5.289 -3.986 0.278 -0.623 3.970
1006 5.679 -3.960 0.068 -0.318 0.097
10060 5.564 -3.603 0.258 -0.398 0.357
10061 5.521 -3.946 0.195 -0.227 0.190
10062 5.406 -4.043 0.253 -0.215 2.226
10063 5.655 -3.258 0.212 -0.645 2.954
10064 5.827 -3.889 0.391 0.055 3.057
10065 5.387 -3.989 0.288 -0.400 3.964
10066 5.500 -3.676 0.255 -0.394 0.843
10067 5.201 -4.259 0.291 -0.133 3.997
10068 5.834 -3.328 0.208 -0.435 3.060
10069 5.668 -3.532 0.220 -0.581 1.118
1007 5.597 -3.707 0.307 -0.534 0.662
