count_i, smass, sfr, m_age, l_age, AV 
0 5.772 -3.371 0.220 -0.413 0.278
1 5.811 -3.323 0.231 -0.524 0.396
10 5.750 -3.788 0.307 -0.113 2.859
100 5.315 -4.016 0.285 -0.245 0.124
1000 8.070 -1.950 -0.002 -0.183 0.598
1001 7.985 -1.184 0.215 -0.290 0.753
1002 7.365 -1.033 -0.308 -1.263 0.803
1003 8.012 -1.641 0.323 0.121 0.359
1004 7.948 -3.196 0.216 0.123 0.291
1005 7.888 -3.457 0.079 0.004 0.234
1006 7.931 -3.426 0.018 -0.023 0.267
1007 7.919 -3.268 0.028 -0.016 0.219
1008 7.755 -2.693 0.147 -0.344 0.867
1009 7.754 -2.745 -0.290 -0.432 1.909
101 5.428 -3.954 0.261 -0.273 0.226
1010 7.704 -3.364 0.076 0.019 1.278
1011 7.200 -2.188 -0.323 -0.745 0.908
1012 7.057 -1.789 0.125 -0.773 0.248
1013 7.530 -3.978 0.474 0.438 0.252
1014 7.457 -3.356 0.461 0.374 0.491
1015 6.378 -2.148 -0.185 -1.339 0.412
1016 7.231 -3.560 0.436 0.373 0.940
1017 6.915 -2.940 0.379 -0.233 0.711
1018 7.027 -3.444 0.071 -0.024 1.431
1019 5.668 -3.274 0.212 -1.100 3.885
102 5.477 -3.910 0.270 -0.279 3.618
1020 6.701 -3.140 0.043 -0.201 0.926
1021 7.181 -3.295 0.446 0.320 1.682
1022 7.342 -3.730 0.393 0.315 0.328
1023 6.722 -1.810 -0.197 -1.159 0.582
1024 7.227 -1.996 0.013 -0.538 0.320
1025 7.403 -3.615 -0.029 -0.187 0.224
1026 7.295 -1.498 -0.127 -0.505 0.250
1027 7.177 -1.235 -0.165 -0.717 0.343
1028 7.512 -3.445 -0.027 -0.118 0.231
1029 7.515 -1.965 0.426 -0.118 0.516
103 6.222 -2.634 0.167 -0.815 3.238
1030 7.422 -1.644 -0.056 -0.333 0.580
1031 7.611 -3.169 0.184 0.100 0.353
1032 7.540 -2.227 -0.001 -0.296 0.339
1033 7.593 -1.948 -0.013 -0.406 0.487
1034 7.891 -3.326 0.267 0.167 0.467
1035 7.785 -1.605 -0.009 -0.442 0.650
1036 7.922 -1.550 0.232 -0.254 0.338
1037 8.217 -2.902 0.302 0.206 0.310
1038 8.233 -2.991 0.017 -0.006 0.487
1039 8.219 -1.721 0.018 -0.172 0.523
104 6.177 -3.604 -0.082 -0.411 0.187
1040 8.209 -1.098 0.344 -0.293 0.667
1041 8.317 -1.430 0.311 0.132 0.495
1042 8.352 -3.254 0.354 0.164 0.496
1043 8.349 -3.035 0.040 -0.025 0.484
1044 8.394 -3.064 0.025 -0.020 0.674
1045 7.685 -0.648 -0.548 -1.335 0.765
1046 7.682 -0.642 -0.737 -1.417 0.803
1047 8.501 -3.714 0.306 0.232 0.314
1048 8.402 -0.522 0.139 -0.783 1.765
1049 8.375 -1.271 0.395 -0.066 0.552
105 5.486 -3.710 0.222 -0.362 0.620
1050 8.188 -1.468 0.025 -0.297 0.598
1051 8.157 -1.064 0.363 -0.204 0.684
1052 7.680 -0.727 -0.492 -1.004 0.865
1053 8.051 -1.344 0.241 -0.065 0.502
1054 8.098 -2.670 0.341 0.227 0.384
1055 7.448 -1.214 -0.250 -1.032 0.712
1056 7.394 -1.437 0.307 -0.841 0.447
1057 7.838 -3.087 -0.031 -0.211 0.405
1058 7.843 -1.676 0.046 -0.193 0.454
1059 7.839 -2.135 0.336 -0.078 0.537
106 5.994 -3.865 0.011 -0.349 0.183
1060 7.641 -2.482 -0.006 -0.297 0.440
1061 7.691 -3.374 0.073 0.005 0.658
1062 7.774 -2.998 0.463 0.386 0.936
1063 7.414 -2.479 0.043 -0.216 0.662
1064 7.357 -3.268 0.027 -0.071 0.331
1065 7.521 -3.429 0.468 0.394 0.917
1066 6.143 -2.571 -0.008 -1.444 3.872
1067 7.239 -3.371 0.045 -0.044 1.013
1068 6.467 -2.786 -0.249 -1.023 0.678
1069 5.998 -2.842 0.094 -1.310 1.297
107 6.150 -2.656 0.168 -0.514 0.315
1070 6.735 -3.599 0.065 -0.059 1.350
1071 7.095 -3.442 0.442 0.326 1.298
1072 5.967 -2.749 -0.016 -1.418 0.588
1073 6.780 -1.755 -0.179 -0.808 0.271
1074 6.419 -2.077 -0.189 -1.388 0.466
1075 7.266 -1.956 -0.103 -0.565 0.285
1076 7.139 -1.609 -0.142 -0.870 0.266
1077 7.600 -3.433 -0.016 -0.112 0.298
1078 7.425 -1.332 -0.203 -0.529 0.197
1079 7.526 -1.910 0.322 -0.318 0.180
108 5.658 -3.665 0.209 -0.283 2.681
1080 7.522 -2.454 0.109 -0.270 0.292
