CATAID,RA,DEC
463260,212.23035,-1.25515
463453,213.16155,-1.34276
463598,213.7631,-1.32367
739416,216.26943,-2.42508
492554,217.11409,-1.31276
485691,217.03596,-1.75214
508523,217.21653,-1.54393
479971,220.29812,-2.20977
492762,218.31299,-1.35545
505311,219.18296,-1.93698
512558,219.25504,-1.07168
493251,220.13042,-1.29692
512888,220.83219,-1.06598
506001,222.68978,-1.79803
749971,184.80754,0.6809
700675,174.03131,-1.38713
30401,175.01814,-1.09095
22307,176.994,1.09341
717105,177.14254,1.30068
559689,177.94625,-0.53128
703117,178.13021,-1.91199
7618,178.61823,0.6877
713630,178.87229,1.49258
185590,180.95608,-1.58178
713763,181.77877,1.58347
273041,181.79488,1.29307
561045,182.64067,-0.47443
749954,183.65844,0.74196
56248,185.13737,-0.24278
484908,213.24342,-1.80649
568049,213.83123,-0.506
593449,216.63233,-0.04722
492449,216.71254,-1.29803
745122,219.36017,-0.44099
505383,219.67158,-1.9552
4087180,221.89689,-0.5418
4323412,221.91741,1.09497
748933,222.29887,0.31757
49782,222.55258,-0.74805
3031055,141.43586,0.25754
71576,185.28078,0.04753
543892,213.23888,-0.98462
48802,218.60321,-0.64894
93064,218.9,0.49402
757259,220.85898,-0.29144
695942,220.92435,0.42284
745053,222.05212,-0.51098
923304,222.6048,-0.14599
30500,175.64528,-1.11058
53744,174.79024,-0.26907
748139,173.92166,0.37651
273259,182.95057,1.36108
289388,182.17439,1.84417
23104,180.37656,1.19407
7847,179.66035,0.70871
22727,178.88958,1.12515
272257,178.55318,1.36415
585421,182.82419,-0.03678
144673,181.09228,-1.3676
536194,181.02162,-1.0181
39921,178.90828,-0.77061
179059,183.04971,-1.97593
185507,180.61151,-1.48757
178468,180.45728,-1.89096
71573,185.37936,0.08691
617634,212.51527,0.21395
47319,212.23238,-0.6698
105498,212.11777,1.02978
567385,211.25816,-0.47566
697359,216.70325,0.88983
78078,215.75109,0.04448
567768,213.14449,-0.58334
697517,221.58045,0.88811
619960,222.38627,0.37676
64474,219.36586,-0.39543
78797,218.65908,0.09035
3990755,176.83008,0.56422
583923,177.3678,-0.07849
535272,177.19365,-1.04889
69923,177.59829,0.14418
7454,177.70919,0.75164
7512,177.90937,0.82957
31502,179.94472,-1.08072
692601,179.49471,-0.37244
692590,182.61001,-0.36039
560666,181.06092,-0.50264
99085,180.9243,1.00191
23567,182.21927,1.11387
3973443,184.35065,0.20722
586321,184.6113,-0.13056
567506,211.97471,-0.50518
692981,211.62543,-0.32765
544256,214.5847,-0.99826
717517,213.86725,1.11141
593722,217.62591,-0.18752
593582,217.00081,-0.17412
593523,216.93124,-0.07042
691892,217.7569,-0.71434
594304,219.69809,-0.13484
107532,220.6982,0.92557
594989,222.84591,-0.10721
3205963,221.12268,1.18277
107651,221.58041,0.88831
93676,221.77277,0.6148
107713,221.94595,0.92169
136689,175.92492,-1.74291
699153,178.89515,-2.53508
131124,180.04554,-2.08106
172470,182.70545,-2.3489
176988,175.14899,-1.8783
789312,174.20038,-1.46241
4243065,139.25995,-0.73821
4291964,138.50392,0.58879
217012,140.82675,0.53055
98065,176.03631,0.91007
85491,182.57529,0.45512
696654,183.20998,0.86023
2124497,34.34335,-5.58176
549519,131.69253,-0.50918
278841,133.97613,0.85304
549878,133.39051,-0.51531
371891,133.34121,1.03797
372224,134.71503,1.13054
376679,134.64994,1.53042
346835,135.18535,2.04464
550701,136.96898,-0.51745
210251,137.3017,0.03939
210075,136.52147,0.04794
197361,134.85727,-0.78773
600408,135.49535,0.38719
372457,135.79377,1.18802
215842,135.58898,0.57252
719292,136.30161,1.30063
372542,136.24127,1.07307
709902,137.34037,0.60205
745714,138.52418,-0.00257
747874,138.80331,0.30691
218688,139.60747,0.84956
279784,139.30362,1.02406
365307,138.74823,2.58637
382919,139.10847,2.02308
383263,140.75565,2.1914
348366,141.25194,2.37283
198552,139.99519,-0.74632
745849,141.16844,-0.0263
402343,174.67269,1.92702
310648,174.1461,2.23383
718466,177.20133,1.67623
719995,176.03043,2.17747
408538,175.62293,2.41031
272384,179.16555,1.43342
715319,180.63785,2.43325
220580,182.20079,1.60956
242362,180.88727,2.49296
243315,185.03082,2.40878
243288,184.79097,2.33019
715426,184.44069,2.35264
243628,186.09259,2.36487
313104,185.83617,2.27664
715433,185.48939,2.37791
714426,185.04954,2.06174
318826,212.70647,1.85971
296286,211.29095,1.57072
265000,211.33219,2.9706
265174,212.53783,2.94361
227569,214.16627,1.27485
238492,214.45316,1.63619
238358,214.12839,1.61889
341761,213.23169,2.21797
3325501,214.10715,3.05199
297516,216.20619,1.39825
3168195,214.93251,3.23202
362739,216.25003,2.67755
239321,217.32385,1.6207
3329112,216.91713,3.09448
3330425,217.94163,3.02885
363143,218.24491,2.60622
343175,219.15755,2.12932
239790,218.98354,1.62693
240500,222.83777,1.46824
251811,220.5073,1.95108
262966,222.17231,2.20919
3465854,133.58672,3.19567
3523173,133.80055,3.49738
518519,136.68162,2.78678
3456406,141.45407,3.27043
3455775,140.96322,3.37546
3344575,221.0044,3.33468
3348746,223.86941,3.217
2158423,33.47975,-5.85591
1672036,35.27333,-4.68375
2563804,38.38892,-6.59442
1889137,37.27687,-5.1846
1902788,37.55237,-4.24612
1672037,35.00096,-4.66319
1666393,35.10325,-5.04214
1674864,35.72337,-4.49143
1785686,36.16246,-4.45176
1588198,35.52242,-6.58864
1125779,33.82429,-6.59713
1890050,37.26213,-5.12114
1007579,34.26575,-6.93329
1118283,33.78829,-7.06899
1197688,33.14996,-5.53655
1433185,31.85971,-4.93199
2003668,38.57458,-5.00639
1351981,31.49858,-6.62683
1417978,31.97129,-5.91753
1552004,31.04779,-5.17575
2009070,38.42921,-4.67684
1988472,38.67367,-5.95558
1887766,37.66608,-5.26647
1787285,36.75325,-4.33905
1095518,34.93604,-4.69746
1425790,31.63092,-5.42582
1192186,33.288,-5.86187
1076381,34.87712,-5.94542
1082099,34.73517,-5.59455
8000136,34.02533,-5.28966
8000275,31.28033,-4.19325
521376,129.15213,2.65074
521372,129.25908,2.76001
323327,131.40317,1.49537
196770,132.58125,-0.68049
422930,133.02533,2.76621
278731,133.45442,0.89283
376526,134.08029,1.56766
3626290,133.852,-0.83182
561354,133.92658,-0.01968
203763,135.20054,-0.39833
209809,135.00117,0.01263
302174,136.55525,1.27191
377465,137.80838,1.61631
3632430,138.18421,-0.88439
204679,139.10337,-0.40891
551209,139.311,-0.46783
383184,140.22167,1.99145
210955,140.55717,0.09665
300597,130.16408,1.10302
300336,129.16546,1.11846
707393,139.58925,-0.22626
623003,136.17912,0.79317
550095,134.14229,-0.55558
549444,131.45096,-0.62196
347565,138.28117,2.16011
601439,139.83892,0.25614
749084,130.99021,0.68646
3631239,137.39912,-0.86825
573622,129.32683,-0.03941
549629,131.98033,-0.56819
210049,136.36292,0.06261
301069,131.96671,1.21769
727091,137.59554,1.90901
709418,134.50408,0.43125
300673,130.33129,1.23441
743846,135.87546,-0.4605
514202,140.34071,2.70084
204957,140.13654,-0.29934
3611161,135.37762,-1.29981
3599162,129.06463,-1.17582
3576875,129.99404,-1.45231
3554345,130.52775,-1.95713
3864865,136.00221,-1.96563
3612983,136.55012,-1.28206
3615274,137.95154,-1.39625
3613796,137.00404,-1.2816
3868688,138.34613,-1.93789
3862971,134.93629,-1.94555
3635301,139.98042,-1.1078
3856528,131.38571,-1.87682
636432,140.71554,-1.7767
3618308,139.88383,-1.41302
