# time_l time_u logSFR16 logSFR50 logSFR84 logMstel16 logMstel50 logMstel84 logZ16 logZ50 logZ84
# (Gyr)  (Gyr)  (M/yr) (M/yr) (M/yr)  (M) (M) (M)  (logZsun) (logZsun) (logZsun)
-0.56 0.44 -8.71 -8.71 -8.71 0.29 0.29 0.29 0.00 0.00 0.00
-0.06 1.94 1.12 1.18 1.22 10.30 10.35 10.39 0.00 0.00 0.00
2.44 3.44 1.01 1.07 1.14 10.57 10.61 10.64 0.00 0.00 0.00
3.44 4.44 1.13 1.17 1.24 10.72 10.74 10.77 0.00 0.00 0.00
4.44 5.44 1.11 1.16 1.21 10.82 10.85 10.87 0.00 0.00 0.00
5.69 6.19 1.15 1.22 1.27 10.89 10.92 10.94 0.00 0.00 0.00
6.19 6.69 1.29 1.36 1.44 10.95 10.97 10.99 0.00 0.00 0.00
6.44 7.44 1.08 1.33 1.48 11.01 11.04 11.08 0.00 0.00 0.00
7.69 8.19 0.93 1.07 1.22 11.04 11.08 11.12 0.00 0.00 0.00
8.19 8.69 1.39 1.68 1.94 11.12 11.17 11.20 0.00 0.00 0.00
7.94 9.94 1.65 1.77 1.86 11.33 11.34 11.36 0.00 0.00 0.00
