# time_l time_u logSFR16 logSFR50 logSFR84 logMstel16 logMstel50 logMstel84 logZ16 logZ50 logZ84
# (Gyr)  (Gyr)  (M/yr) (M/yr) (M/yr)  (M) (M) (M)  (logZsun) (logZsun) (logZsun)
5.96 6.46 0.32 0.35 0.38 10.13 10.16 10.19 0.00 0.00 0.00
6.46 6.96 -85.69 -58.98 -22.83 10.13 10.16 10.19 0.00 0.00 0.00
6.71 7.71 -87.89 -62.34 -20.73 10.13 10.16 10.19 0.00 0.00 0.00
7.96 8.46 -89.29 -70.80 -31.51 10.13 10.16 10.19 0.00 0.00 0.00
8.46 8.96 -86.57 -61.15 -29.62 10.13 10.16 10.19 0.00 0.00 0.00
9.11 9.31 -79.71 -47.61 -16.10 10.13 10.16 10.19 0.00 0.00 0.00
9.33 9.50 -88.54 -69.75 -31.27 10.13 10.16 10.19 0.00 0.00 0.00
9.53 9.65 -89.59 -72.21 -35.17 10.13 10.16 10.19 0.00 0.00 0.00
9.61 9.81 -85.11 -61.60 -20.82 10.13 10.16 10.19 0.00 0.00 0.00
9.81 10.01 -84.69 -59.10 -25.01 10.13 10.16 10.19 0.00 0.00 0.00
10.01 10.21 -92.70 -71.35 -34.60 10.13 10.16 10.19 0.00 0.00 0.00
