# time_l time_u logSFR16 logSFR50 logSFR84 logMstel16 logMstel50 logMstel84 logZ16 logZ50 logZ84
# (Gyr)  (Gyr)  (M/yr) (M/yr) (M/yr)  (M) (M) (M)  (logZsun) (logZsun) (logZsun)
-0.10 0.90 -92.08 -79.69 -58.66 -inf -inf -inf 0.00 0.00 0.00
0.40 2.40 -91.32 -76.04 -57.65 -inf -inf -41.08 0.00 0.00 0.00
2.90 3.90 -88.21 -75.63 -65.25 -inf -inf -40.59 0.00 0.00 0.00
3.90 4.90 -93.39 -80.58 -55.68 -inf -inf -32.45 0.00 0.00 0.00
4.90 5.90 -92.58 -78.15 -62.23 -inf -inf -28.84 0.00 0.00 0.00
6.15 6.65 -93.36 -79.45 -44.90 -inf -inf -20.63 0.00 0.00 0.00
6.65 7.15 -94.32 -76.24 -59.91 -inf -42.24 -20.63 0.00 0.00 0.00
6.90 7.90 -91.11 -77.05 -63.40 -inf -42.24 -20.63 0.00 0.00 0.00
8.15 8.65 -93.22 -79.28 -64.54 -inf -41.18 -19.90 0.00 0.00 0.00
8.65 9.15 -92.96 -74.34 -53.81 -inf -40.62 -19.72 0.00 0.00 0.00
8.40 10.40 -91.97 -75.98 -53.40 -inf -40.59 -19.25 0.00 0.00 0.00
