# id  z  ra  dec  fix_sersic_n  sersic_n_fitted  sersic_re_fitted  sersic_n_corrected  sersic_re_corrected host_mag_g host_mag_r host_mag_i host_mag_z host_mag_y  ps_mag_g ps_mag_r ps_mag_i ps_mag_z ps_mag_y decomposition_chisq  stellar_mass  sed_chisq  logMBH  logMBH_err
000002.50+021818.9 0.788 0.010430687 2.3052535 false 0.832 0.62 0.791 0.627 23.237158984 22.3042844962 21.380036164 21.0147379819 20.8755290283 22.1030529318 21.5339088691 21.2147944846 20.7005087425 20.9125403995 1.2 10.6743731367 0.0273062670101 7.80955018244 0.236246022768
000004.78-005434.6 0.858 0.019959191 -0.90959671 false 0.476 0.46 2.641 1.315 25.6125663542 26.4883437206 25.9032486677 25.5745185973 21.9540082022 22.0441522844 21.6973813781 21.2711061585 21.1215626373 21.5662913276 1.02 7.63955914107 9.85473309637 8.09514716681 0.218083936039
000005.41+002638.0 0.928 0.022563283 0.44390259 false 3.253 0.5 3.7 0.484 24.766705471 22.2831670361 21.0014474238 20.2967725064 20.1295008507 21.6002552474 21.1114190938 21.0072452983 20.9328316639 20.6175997983 1.03 11.4748983609 0.194471192098 8.67113651674 0.178687388873
000007.76-011218.8 0.964 0.032358987 -1.2052336 false 0.447 0.345 0.894 0.279 28.3254449601 25.4143107634 23.5380415669 23.2379396619 22.7434498298 21.9510773737 21.5024917874 21.7284352453 21.2679039175 21.2332299225 0.91 10.4570085362 0.927309726148 7.35741539993 0.354742704056
000010.97+005653.3 0.653 0.045748589 0.94815382 false 1.249 0.221 1.294 0.195 23.9735349377 22.6622808394 21.8133885255 21.402471193 21.1419266896 21.804120811 21.7681457691 21.4975524572 21.6382998893 21.6621445095 0.97 10.45535071 0.0791404993991 8.1442408945 0.0877708018372
000016.43-001833.3 0.703 0.068473 -0.309276 true 0.341 0.1 0.7 1.328 19.3312897158 18.1763137493 34.5 18.1826689801 24.4552265103 18.9682395315 22.2610431191 17.9786303632 19.7366222305 18.0631554003 5.29 9.18229797419 8.21715219789 8.68400335489 0.0626733484244
000016.49+022715.1 0.885 0.068722649 2.4542145 false 0.785 1.232 0.818 1.422 24.2734732304 23.4214699589 22.3353161795 21.7358924813 21.218292769 19.626532303 19.5910285684 19.5138683599 19.5983795765 19.5416628605 1.05 10.8072312323 0.295959912488 8.85008383487 0.0911060690884
000017.74+020027.9 0.414 0.073923202 2.0077513 false 0.642 0.718 0.629 0.72 21.5649159323 20.2849161048 19.6616047277 19.417799637 19.2019163801 19.0994779069 18.7599421387 18.7832330516 18.504941537 18.533940767 1.99 10.6905500608 0.0244036275602 7.88338361072 0.0630908356729
000017.88+002612.6 0.546 0.074540062 0.43683059 false 3.069 0.754 3.104 0.758 22.1723092576 20.7827837587 20.0615564932 19.6574145456 19.5224744893 20.1875765816 20.4623353966 20.3883103496 20.5349334112 20.022230188 2.17 10.8952394322 0.0354134707743 8.45170969596 0.190974365621
000020.04+002008.0 0.931 0.083535008 0.33557 false 3.106 0.41 4.529 0.502 24.823405092 23.8340679219 22.554965745 22.1546517481 21.6293110575 21.680545899 21.399251045 21.3805699471 21.1936713477 20.7877954225 1.06 10.6041023341 0.331929808045 8.41557260342 0.0947049120563
000022.05+011742.5 0.416 0.091904424 1.2951619 true 6.815 0.292 2.0 0.433 20.9775990895 19.7422573895 19.3549072219 19.1711049037 18.7680992163 19.4238852737 19.920581438 19.8419457218 19.3926009197 19.6820041086 1.49 10.5256021443 0.146565913758 8.23944286642 0.101426579273
000023.59+003958.2 0.901 0.098302752 0.66618963 false 1.095 0.781 1.093 0.83 24.1023609912 23.1900488633 21.5777770659 20.9292741641 20.5881070657 21.4750000652 21.0709359536 21.0052020949 20.7289652708 20.8086418535 1.45 11.2426104529 0.483317188001 8.32549631335 0.282505387104
000026.27+022140.8 0.77 0.10947479 2.3613532 false 0.707 0.715 0.643 0.737 24.8436280762 23.2116734099 21.8404098657 21.4151630082 21.1352528004 20.8057465649 20.9846932087 20.8680545135 20.8150096342 20.9574714681 1.03 10.7574063553 0.00623507414071 8.20605249164 0.203172322926
000026.95+002004.7 0.822 0.11231914 0.33466703 false 1.559 0.347 1.663 0.318 23.2451962135 22.4098704876 21.5078193317 21.1042108998 21.6130274282 20.6780166679 20.4818585088 20.9377265215 20.6079958688 20.3973588214 1.14 10.1262909047 1.07259618396 8.93824003496 0.0596661810334
000029.23+015122.7 0.852 0.12181464 1.8563327 false 4.041 0.545 4.726 1.187 26.4999268336 24.8930090121 23.1138376727 22.7728049822 22.3829669651 21.8106765006 21.5508979403 21.6258901026 21.1780727404 21.548452547 0.96 10.5560457783 0.187466850141 7.75099819991 0.228113776419
