#D(Mpc) 2MASS k_s total mag M_k M_v V-K B-V LogM_bulge M_BH \sigma Flags Source
0.805 5.1 -19.45 -16.64 2.816 0.895 09.05   0.10	2.45(1.43-03.46)10^6	077 03
20.95 5.32 -26.29 -23.38 2.91 0.871 11.84   0.09	1.69(1.39-01.97)10^8	226 09
22.66 7.05 -24.73 -21.58 3.159 0.931 11.27   0.09	1.47(1.27-01.68)10^9	328 09
19.57 8.16 -23.3 -20.43 2.874 0.908 10.65   0.09	5.90(5.39-06.51)10^8	167 03
20.85 6.31 -25.29 -22.43 2.863 0.948 11.50   0.09	8.81(4.35-17.81)10^8	315 03
29 6.46 -25.87 -22.89 2.98 0.969 11.74   0.09	4.65(4.24-05.38)10^9	276 02
52.5 8.77 -24.87 -21.89 2.974 0.963 11.33   0.09	3.87(3.16-04.48)10^9	270  10
23.44 9.51 -22.34 -19.39 2.955 0.911 10.26   0.09	1.45(0.00-02.91)10^7	175 08
67.1 9.78 -24.36 -21.3 3.068 0.88 11.06   0.09	1.08(1.03-01.12)10^7	166  16
53.02 8.09 -25.54 -22.56 2.98 0.962 11.61   0.09	3.72(3.21-03.83)10^9	297  12
10.99 7.16 -23.06 -20.08 2.98 0.83 10.50   0.09	1.78(0.85-02.72)10^8	145 07
10.7 6.27 -23.88 -21.01 2.867 0.939 10.91   0.09	4.16(3.12-05.20)10^8	206  10
22.65 6.99 -24.79 -21.92 2.872 0.911 11.26   0.09	1.37(0.90-01.82)10^8	229  11
22.75 7.62 -24.17 -21.19 2.98 0.921 11.01   0.09	4.65(3.66-05.64)10^8	182 09
92.2 8.84 -25.99 -23.01 2.98 0.941 11.77   0.09	9.09(6.28-11.43)10^9	270  27
32.36 6.94 -25.62 -22.64 2.98 0.974 11.65   0.09	5.29(4.21-06.36)10^8	315  15
26.58 8.42 -23.72 -20.76 2.954 0.927 10.85   0.09	9.78(6.70-12.86)10^8	242  12
18.51 5.75 -25.6 -22.62 2.98 0.945 11.62   0.09	9.25(8.38-10.23)10^8	296  14
17.88 5.76 -25.51 -22.53 2.98 0.863 11.51   0.09	1.30(0.00-22.40)10^7	182 05
16.01 7.15 -23.88 -20.91 2.975 0.909 10.88   0.09	6.96(5.62-08.29)10^7	167 08
16.72 4.97 -26.16 -23.18 2.98 0.94 11.84   0.09	2.54(2.44-03.12)10^9	300 07
15.25 7.16 -23.77 -20.89 2.874 0.935 10.85   0.09	0.90(0.45-01.35)10^8	190 09
16.68 5.27 -25.85 -22.87 2.98 0.94 11.72   0.09	6.15(5.78-06.53)10^9	324 20
18.36 9.49 -21.83 -18.85 2.98 ... 10.04   0.09	1.44(0.92-01.97)10^7	111 05
16.26 10.39 -20.67 -17.69 2.98 0.991 09.64   0.10	6.00(4.00-09.00)10^8 	185 09
16.46 5.49 -25.61 -22.63 2.98 0.947 11.64   0.09	4.72(3.67-05.76)10^9	380  19
12.54 6.37 -24.13 -21.33 2.799 0.883 10.97   0.09	2.02(1.52-02.53)10^8	177 08
32.81 8.24 -24.38 -21.22 3.158 0.983 11.16   0.09	2.44(2.07-02.56)10^9	355  14
102 8.41 -26.64 -23.63 3.007 1.031 12.09   0.09	02.08(0.49-03.66)10^{10}	347  5
38.7 8.22 -24.74 -21.66 2.949 0.987 11.28   0.09	8.55(4.07-12.93)10^8	222  11
3.62 3.49 -24.34 -21.36 2.98 0.898 11.05   0.09	5.69(4.65-06.73)10^7	150 07
64.4 8.49 -25.58 -22.61 2.966 1.004 11.65   0.09	4.75(2.81-05.63)10^9	333 02
55.3 8.31 -25.47 -22.5 2.97 0.993 11.60   0.09	3.69(2.65-03.79)10^9	328  11
25.68 7.83 -24.23 -21.29 2.939 0.862 11.00   0.09	2.73(1.94-03.41)10^8	183 09
25.87 9.11 -22.97 -19.73 3.238 0.973 10.57   0.09	4.87(3.34-06.40)10^8	239  11
138 9.97 -25.74 -22.84 2.884 0.965 11.69   0.09	3.74(2.59-05.50)10^9	318 02
108.4 9.03 -26.18 -23.18 2.998 ... 11.88   0.09	6.14(4.09-08.18)10^8	290  14
28.71 7.71 -24.6 -21.42 3.179 0.962 11.25   0.09	2.10(2.00-02.73)10^9	389 03
70.4 8.57 -25.7 -22.86 2.841 0.86 11.61   0.10	3.96(2.40-06.72)10^8	266  13
53.85 8.03 -25.65 -22.83 2.821 0.969 11.65   0.09	2.30(2.19-03.45)10^9	292 05
116 9.34 -26 -23.19 2.811 0.906 11.75   0.09	1.34(0.93-01.85)10^9	257  26
28.92 6.81 -25.51 -22.42 3.081 0.966 11.60   0.09	2.48(2.29-02.96)10^9	331 05
#89.9 10.62 -24.17 ... ... ... ... ...	1.49(1.04-01.93)10^7	...
152.4 9.99 -25.95 -22.64 3.31 1.043 11.81   0.10	3.74(3.22-04.16)10^9	288  14
49.2 7.5 -25.98 -23.03 2.948 0.956 11.78   0.09	1.30(1.11-01.50)10^9	322  16
242.7 10.28 -26.77 -23.23 3.54 ... ... ...	2.66(1.91-03.40)10^9	270  90
