# id in_final_catalog selection_bit
000002.50+021818.9 y boss_core
000004.78-005434.6 n non_uniform
000005.41+002638.0 y boss_core
000007.76-011218.8 n boss_core
000010.97+005653.3 y boss_core
000012.28-010405.5 n boss_core
000016.43-001833.3 n dr7_core
000016.49+022715.1 y boss_core
000017.74+020027.9 y boss_core
000017.88+002612.6 n non_uniform
000020.04+002008.0 y boss_core
000022.05+011742.5 y boss_core
000023.59+003958.2 y boss_core
000026.27+022140.8 y boss_core
000026.95+002004.7 n boss_core
000029.23+015122.7 n boss_core
000030.05+022305.6 n boss_core
000032.72-013122.8 y boss_core
000038.16+020144.5 n non_uniform
000048.17+013313.6 y boss_core
000053.06-001314.4 n boss_core
000058.34+002528.2 n boss_core
000102.74+012941.9 y boss_core
000102.74+023503.2 n boss_core
000103.64-011522.4 n boss_core
000104.46+024349.3 n boss_core
000104.52+002753.7 n non_uniform
000109.12-004121.6 y dr7_core
000109.34+012640.5 y boss_core
000111.19-002011.5 y dr7_core
000115.16+025130.2 y boss_core
000119.38+014225.8 y boss_core
000120.76+021950.5 y boss_core
000123.92+012004.5 y boss_core
000127.11+002620.5 y boss_core
000129.67+010901.5 y boss_core
000129.82+004631.2 n non_uniform
000130.19+014009.2 n boss_core
000141.43+002356.3 n dr7_core
000150.39+023830.2 n boss_core
000153.58+023223.6 y boss_core
000157.38-004958.6 y boss_core
000159.62-004924.1 n boss_core
000201.57-000941.4 n boss_core
000203.37-003150.8 y boss_core
000204.39+004700.6 y boss_core
000208.83-001742.6 y dr7_core
000219.11+002232.9 n non_uniform
000221.31+015720.9 n boss_core
000221.94+001246.9 n boss_core
000222.47-000443.5 n dr7_core
000223.35-011041.0 y boss_core
000224.16+001740.2 y boss_core
000228.05+010102.6 n boss_core
000239.54+015003.7 n boss_core
000240.45-004033.1 n non_uniform
000241.55+002411.3 n boss_core
000243.58-003449.2 n boss_core
000243.89+003423.6 n boss_core
000245.07-012018.2 y boss_core
000255.66+025001.8 n boss_core
000300.02+022852.0 n boss_core
000308.73-004808.1 y boss_core
000315.68+001933.7 y boss_core
000316.31-002148.9 n non_uniform
000317.75+000858.7 y boss_core
000322.60-002941.2 n non_uniform
000323.38+013232.9 y boss_core
000325.20-004420.5 n boss_core
000325.40+020155.7 n boss_core
000330.35-010246.6 y boss_core
000333.26-004443.3 n non_uniform
000344.03+011303.6 n boss_core
000345.70-001011.1 n non_uniform
000346.20-012552.8 n boss_core
000346.60+020640.2 y boss_core
000347.20+005344.7 n non_uniform
000348.46-004355.3 n non_uniform
000350.75-010359.5 n non_uniform
000355.23+001216.4 n boss_core
000356.56-010131.6 n non_uniform
000358.31+013527.0 y boss_core
000359.24-003032.6 n boss_core
000403.92+012105.8 n boss_core
000405.15+004122.6 y boss_core
000411.50-005920.0 n boss_core
000413.23+014418.4 y boss_core
000421.84+005743.6 n non_uniform
000428.93+014852.5 y boss_core
000429.47-002142.8 n non_uniform
000439.97-000146.4 n non_uniform
000442.15+014141.2 y boss_core
000445.71+002245.0 n non_uniform
000501.70+005432.2 n boss_core
000504.75-010740.2 y boss_core
000509.30+014820.9 y boss_core
000513.05-001018.6 n non_uniform
000515.93-003730.7 n non_uniform
000520.98-005125.9 y boss_core
000521.31+002756.4 y boss_core
000526.77-000908.7 n boss_core
000527.52-000556.2 n non_uniform
000529.33+011223.4 n boss_core
000529.35+011140.0 y boss_core
000531.06+000950.9 y dr7_core
000531.41+001455.9 n non_uniform
000534.73-002435.9 n boss_core
000535.23+000021.4 n non_uniform
000539.29-010243.8 n non_uniform
000548.44+003057.0 n non_uniform
000550.01+012338.4 n boss_core
000553.71-010117.7 n non_uniform
000557.23+002837.7 y dr7_core
000602.73+005022.6 n boss_core
000608.04-010700.7 n non_uniform
000608.51+010014.7 y boss_core
000613.84+001909.2 n non_uniform
000614.50+015920.9 y boss_core
000614.79+003648.0 y boss_core
000623.37+010021.4 y boss_core
000624.03-000912.6 n boss_core
000631.39+020904.0 y boss_core
000632.30+000707.3 n non_uniform
000634.26-000507.7 n boss_core
000634.31-005241.4 n boss_core
000635.69-000721.0 n boss_core
000637.89-001842.4 n non_uniform
000638.17-010559.4 n boss_core
000639.17+021644.6 y boss_core
000656.08+015928.0 y boss_core
000705.47+015731.2 n boss_core
000707.55-003427.6 n boss_core
000709.65+004418.9 n non_uniform
000712.96-004559.8 n boss_core
000713.21+021816.5 y boss_core
000717.82-005137.7 n non_uniform
000721.95+015821.0 y boss_core
000726.53+024520.3 y boss_core
000741.42+011209.4 y boss_core
000752.57+020016.9 n boss_core
000752.70-004524.2 n non_uniform
000754.23-010453.9 n non_uniform
000754.85-004003.6 n non_uniform
000757.63+021207.3 y boss_core
000758.90-000957.6 n non_uniform
000800.06-000021.3 n non_uniform
000802.86+011017.8 y boss_core
000803.30+004712.1 n boss_core
000804.13+000647.7 y boss_core
000804.16-004139.2 y boss_core
000807.24+000851.5 n non_uniform
000825.77-003947.6 y boss_core
000830.10+030524.6 n boss_core
000830.94+012028.6 n boss_core
000843.93+014840.2 y boss_core
000846.79+003412.0 y boss_core
000847.38+014814.8 y boss_core
000852.05-002739.9 y boss_core
000855.73+022328.7 y boss_core
000856.88-010344.5 n boss_core
000901.01-000306.7 n non_uniform
000902.33-004458.1 n boss_core
000906.06+005431.9 y boss_core
000908.82+021807.1 y boss_core
000911.77+014819.9 y boss_core
000913.63-000112.6 y boss_core
000925.04+001657.2 n non_uniform
000925.33+023444.1 n boss_core
000928.48+013659.5 y boss_core
000930.32+012946.2 n boss_core
000933.14-011326.1 n boss_core
000933.34+004414.7 n non_uniform
000936.52+022513.6 n boss_core
000940.01+024048.6 y boss_core
000943.21+003846.3 n boss_core
000943.37+010459.8 n non_uniform
000945.46+001337.0 y dr7_core
000945.47+015012.0 y boss_core
000946.62-000100.0 n non_uniform
000949.23-002451.3 y boss_core
000957.98+005153.2 y boss_core
001000.21+012404.9 y boss_core
001000.31+003720.0 y boss_core
001002.96-010107.2 y dr7_core
001008.59-001620.3 n boss_core
001009.24-011522.6 y boss_core
001010.03+005126.6 y dr7_core
001018.56-005810.3 n non_uniform
001019.54+025340.3 y boss_core
001022.13-002216.8 n non_uniform
001026.32+015610.9 n boss_core
001028.93+000655.4 y boss_core
001034.62+010404.5 n non_uniform
001035.76+002132.6 n boss_core
001047.46+001900.4 n dr7_core
001047.99-001830.1 n non_uniform
001048.73+010415.3 n non_uniform
001050.22+024150.6 y boss_core
001100.87-001532.1 n non_uniform
001103.18+005927.2 n non_uniform
001105.57+002653.5 n non_uniform
001110.41-004523.2 n non_uniform
001113.99-005027.3 n boss_core
001114.22+010928.7 n non_uniform
001115.26-003718.9 n boss_core
001115.69+011459.2 n non_uniform
001116.55+024033.9 n boss_core
001120.17-000510.1 n non_uniform
001122.42+020011.5 n boss_core
001125.95+012721.3 n boss_core
001126.33-001004.8 y boss_core
001129.20+022920.2 y boss_core
001133.21+015958.2 y boss_core
001133.95-000001.1 y boss_core
001136.98+020249.5 y boss_core
001137.37+002808.0 n non_uniform
001140.24+005656.7 n non_uniform
001146.11+021929.5 y boss_core
001149.19+001733.2 y boss_core
001150.10-002552.6 y boss_core
001150.65+015808.3 n boss_core
001153.45+002404.9 y boss_core
001153.86+015912.1 y boss_core
001157.43+000604.9 y boss_core
001202.77+004202.8 n non_uniform
001207.47+002707.1 n non_uniform
001220.25+014340.3 y boss_core
001220.75-000431.3 n boss_core
001223.65-002014.1 n boss_core
001228.53+001323.8 n boss_core
001233.78+003210.4 y boss_core
001238.84+001407.1 n non_uniform
001242.28-010229.5 n non_uniform
001243.68+002920.8 y boss_core
001250.39+003830.1 n non_uniform
001251.17-002326.3 n boss_core
001252.64-000206.0 n non_uniform
001257.21+003709.7 n non_uniform
001257.25+011527.3 n dr7_core
001300.40+003637.8 n boss_core
001316.24+002753.2 y boss_core
001317.46-000635.8 n non_uniform
001317.77+000325.3 n boss_core
001327.47+021351.6 y boss_core
001338.51+005521.0 y boss_core
001346.52+003402.8 y dr7_core
001357.87+001708.5 y boss_core
001449.84+010047.9 n non_uniform
001500.14+011519.1 n non_uniform
010218.48+020206.9 y boss_core
010221.52+015049.7 n boss_core
010224.54-001501.5 y boss_core
010229.00+020126.6 n boss_core
010230.03-003206.8 y dr7_core
010235.46-002624.5 y boss_core
010248.54+014321.1 y boss_core
010301.13-003521.0 n boss_core
010309.57+012533.5 n boss_core
010313.46+020120.9 y boss_core
010320.34+014119.5 y boss_core
010327.41+014618.8 y boss_core
010329.09-002810.0 n non_uniform
010335.35-005527.3 y boss_core
010336.63-000939.4 n non_uniform
010358.35+014128.0 y boss_core
010400.19-003536.0 n boss_core
010407.00+011412.9 y dr7_core
010415.79-003455.7 n boss_core
010417.81-005317.0 n boss_core
010418.71-002517.9 n non_uniform
010421.07+012612.2 y boss_core
010434.66-002410.7 y boss_core
010437.61+012727.4 y boss_core
010440.66-000826.3 y boss_core
010451.72+003820.7 y boss_core
010452.51-002630.7 n non_uniform
010455.00+001645.1 y boss_core
010458.97+005720.7 y boss_core
010502.18-000711.2 n non_uniform
010503.49+012509.5 y boss_core
010509.30+005258.7 n dr7_core
010510.13-004355.0 y boss_core
010512.40+003539.2 n boss_core
010513.41-002625.1 y boss_core
010514.11-010223.0 n non_uniform
010517.60+010711.5 n boss_core
010524.21+000901.2 y boss_core
010529.21-001738.8 y boss_core
010529.57-004636.1 n non_uniform
010529.60-001104.0 n non_uniform
010530.81-000631.3 y boss_core
010531.57+003511.8 n boss_core
010534.93+002158.5 n non_uniform
010537.80+003802.3 n boss_core
010540.68+001308.6 n non_uniform
010541.12+001148.5 y boss_core
010554.32+012007.3 y boss_core
010557.31+011327.8 n non_uniform
010558.15+013804.7 n boss_core
010605.33+022154.8 n boss_core
010618.71-002204.0 n non_uniform
010620.97-005503.8 n non_uniform
010626.77-005248.4 n dr7_core
010633.99+001325.8 n boss_core
010636.55+001713.4 y dr7_core
010641.03-001945.4 y boss_core
010641.05-005148.9 n non_uniform
010648.37+015550.4 n boss_core
010652.74+001007.7 y boss_core
010653.88+012122.0 n boss_core
010655.53-002507.5 y boss_core
010702.06+020035.2 y boss_core
010704.73+013758.6 n boss_core
010709.34-000749.2 y boss_core
010709.75+001740.1 y boss_core
010711.05+020612.8 y boss_core
010711.88-002909.0 n boss_core
010712.69+000348.3 n non_uniform
010718.75+000625.5 n non_uniform
010722.13+004557.7 n non_uniform
010735.37+002544.0 y boss_core
010737.01-001911.6 y dr7_core
010739.79+002423.0 y boss_core
010741.35-005221.1 y boss_core
010746.20+001842.4 n boss_core
010748.49-000740.4 n boss_core
010800.07+005532.0 y boss_core
010800.19+010847.8 y boss_core
010801.82+001212.5 y boss_core
010811.00+000932.9 y boss_core
010812.00-000516.5 n non_uniform
010813.08+000256.9 n non_uniform
010823.65+001249.4 y boss_core
010825.13+014116.2 n boss_core
010829.08-005535.6 n boss_core
01083.125+005147.3 n boss_core
010839.02+003109.5 y boss_core
010840.72+010539.0 y boss_core
010849.51+005923.8 y boss_core
010851.56+004017.5 n non_uniform
010905.63+001033.9 n boss_core
010906.64+001825.2 y boss_core
010907.20+000513.0 n non_uniform
010910.22+003518.0 n non_uniform
010922.75-002621.1 n non_uniform
010922.91+005305.2 n boss_core
010923.59+004123.3 n non_uniform
010925.69+012641.3 y boss_core
010928.35+010432.0 n non_uniform
010929.23+014917.0 y boss_core
010930.59+010037.6 y boss_core
010939.49+013631.0 n boss_core
010942.68+005703.2 n non_uniform
010947.43+010750.4 y dr7_core
010953.84+011741.6 y boss_core
010955.04+012919.6 y boss_core
010955.62+005500.6 y dr7_core
010955.63+011845.3 n boss_core
011006.23+004507.5 y boss_core
011008.14-003457.6 n boss_core
011011.78-002643.9 y boss_core
011014.75-001042.3 n non_uniform
011015.35+010016.6 y boss_core
011022.25+013948.9 n boss_core
011029.64-002517.2 n non_uniform
011035.94+000256.6 n non_uniform
011040.14-002434.2 n non_uniform
011047.50-010711.6 n non_uniform
011049.71-005511.2 n boss_core
011049.84+004851.5 y boss_core
011050.50+001243.6 y boss_core
011051.78+015617.6 y boss_core
011052.85+004648.6 n non_uniform
011054.04+015719.1 y boss_core
011056.90+001912.0 n dr7_core
011058.96+010932.9 n non_uniform
011104.96-001627.0 n boss_core
011110.89+001709.2 n boss_core
011116.32-002511.5 y boss_core
011121.92+011351.4 n dr7_core
011128.38+000143.7 n boss_core
011130.50+001427.9 y boss_core
011132.23+013153.1 y boss_core
011135.14+001043.5 n boss_core
011141.89-010400.8 n non_uniform
011142.92+014525.6 n boss_core
011145.25+012919.2 y boss_core
011146.19+003942.6 n non_uniform
011148.62-002751.4 n non_uniform
011149.02-002536.6 n boss_core
011153.18+001332.3 y boss_core
011153.20+021655.7 y boss_core
011153.99+013855.0 y boss_core
011159.58-001614.2 n non_uniform
011200.57-002336.9 n non_uniform
011206.99+020646.5 y boss_core
011212.50+021006.2 y boss_core
011214.01-002615.3 y boss_core
011218.89+012317.1 y boss_core
011220.09+014919.8 y boss_core
011228.10-000019.5 n non_uniform
011239.68+001943.5 n non_uniform
011244.07+015103.2 y boss_core
011246.65+0141540 y boss_core
011248.91+002310.6 n non_uniform
011250.78+004428.8 n non_uniform
011258.51+003801.5 n boss_core
011300.67+014004.0 y boss_core
011301.74-000003.9 n dr7_core
011304.19+001918.9 y boss_core
011304.86+001445.0 y boss_core
011305.19+012502.1 n non_uniform
011305.23+000323.1 y boss_core
011310.38-003133.2 y dr7_core
011311.82+013542.4 n boss_core
011312.32+000614.6 y boss_core
011312.59+014309.1 n boss_core
011320.94+003821.6 y boss_core
011329.41-004543.4 n boss_core
011335.11+001218.0 y boss_core
011339.62-000532.3 n boss_core
011402.04+011646.1 n boss_core
011403.44+005343.9 y boss_core
011408.75+020857.7 y boss_core
011408.84+000739.2 y boss_core
011409.63+005428.4 n boss_core
011410.69+021925.6 n boss_core
011413.43-005839.5 n non_uniform
011417.18-005518.8 n dr7_core
011420.95-004049.2 y dr7_core
011430.23+000420.9 n non_uniform
011432.21+021517.7 y boss_core
011439.62-002230.4 y boss_core
011445.68+012121.8 y boss_core
011450.99+004808.3 y boss_core
011504.00+013950.7 n boss_core
011513.69+015639.6 n boss_core
011515.44+020500.4 y boss_core
011517.11-001000.7 n non_uniform
011520.57-003044.6 y boss_core
011525.11-005235.9 y boss_core
011527.88+000905.9 n boss_core
011532.95+014917.1 n boss_core
011533.91+011420.1 y boss_core
011536.74-004754.4 n non_uniform
011536.92-000011.0 n non_uniform
011539.75-002159.3 n non_uniform
011547.17-004646.3 n non_uniform
011547.99+000612.1 y boss_core
011552.02-000243.3 y boss_core
011552.90+003541.2 y boss_core
011600.11-005156.7 n non_uniform
011605.74-010242.7 n boss_core
011615.10+012527.5 n non_uniform
011619.55+001604.7 y boss_core
011627.80-001304.2 n non_uniform
011629.80+005359.0 n non_uniform
011630.44+003839.1 y boss_core
011637.99+020455.4 n boss_core
011656.37+021519.7 n boss_core
011659.23-004316.2 n non_uniform
011659.38-000532.0 n boss_core
011702.33+013210.8 y boss_core
011703.20-005105.8 y boss_core
011703.86+004222.8 n boss_core
011703.94-004534.0 n non_uniform
011707.64+010631.2 n boss_core
011712.81-005817.4 n non_uniform
011714.59-005623.7 y boss_core
011717.41+001527.6 y boss_core
011718.44+015337.6 n boss_core
011726.59+014528.8 y boss_core
011733.21+020647.8 y boss_core
011733.98+012309.8 y boss_core
011736.87+002004.3 y boss_core
011737.71+012403.1 y boss_core
011740.91-004104.3 n non_uniform
011741.12+002026.3 n non_uniform
011743.64+012423.2 y boss_core
011745.60+005629.5 y boss_core
011745.89+005122.9 n boss_core
011745.93+021619.7 y boss_core
011746.78+004157.6 n non_uniform
011753.85+020310.0 y boss_core
011757.99+002104.1 n non_uniform
011804.01+000356.2 n non_uniform
011805.71+002335.1 y boss_core
011806.06-000159.4 y boss_core
011809.77+002158.2 n boss_core
011815.91+002636.7 n boss_core
011816.47+013517.9 n non_uniform
011819.01-002222.0 y boss_core
011824.43-004240.8 y boss_core
011836.32-002305.2 y boss_core
011841.45+015334.5 y boss_core
011845.50+000330.3 n non_uniform
011848.74-001651.0 y boss_core
011850.64-001636.0 y boss_core
011851.09+011518.8 y boss_core
011851.99-003605.7 n non_uniform
011852.27-000256.6 y boss_core
011853.52+001444.6 n non_uniform
011855.74-004032.3 y dr7_core
011901.54-003443.0 n non_uniform
011903.44+000716.1 y boss_core
011906.79-002740.6 n dr7_core
011908.04-003940.6 n non_uniform
011917.85+000257.1 n boss_core
011920.57-000808.1 y boss_core
011921.00-000441.4 n non_uniform
011923.18-001541.6 n boss_core
011926.69+005051.2 y boss_core
011928.71+002520.8 n non_uniform
011931.00+001647.7 y boss_core
011934.07+002454.8 y boss_core
011935.29-002033.5 n boss_core
011942.12-001901.9 y boss_core
011947.16-010347.0 n non_uniform
011947.25-010504.3 y boss_core
011954.56+001103.8 y boss_core
012000.78+005154.0 n boss_core
012012.13+002703.2 n non_uniform
012016.25-002442.1 n non_uniform
012019.57+004240.5 n non_uniform
012029.52+003341.6 y boss_core
012030.55+001422.5 y boss_core
012047.52+001520.1 y boss_core
012050.94-001832.9 y dr7_core
012052.93-000408.3 y boss_core
012057.86+005857.1 y boss_core
012059.12+003024.2 y boss_core
012100.73-001519.1 n non_uniform
012103.57+003225.4 n boss_core
012108.90-004307.3 n non_uniform
012111.81-002521.4 y boss_core
012112.91+001212.2 y boss_core
012120.27-004821.1 y boss_core
012123.09+003112.8 y boss_core
012126.36-005857.0 n non_uniform
012136.83-001810.8 y dr7_core
012139.16-000024.0 n non_uniform
012155.09-001337.4 y boss_core
012156.07+000327.8 y boss_core
012204.83+001512.5 y boss_core
012209.66-000254.4 n boss_core
012211.34-002031.0 n boss_core
012218.23-010106.1 n non_uniform
012222.90-003554.3 n boss_core
012225.89+001702.7 y boss_core
012238.81-003933.8 y boss_core
012239.09+000529.9 n dr7_core
012242.60-004448.8 n non_uniform
012309.74-003610.3 y boss_core
012311.75-001205.2 y boss_core
012317.16-004022.1 n boss_core
012318.89-001728.2 n non_uniform
012334.10-002308.9 n non_uniform
012344.00-003554.7 y boss_core
012353.46+000938.8 n boss_core
012354.18-003449.4 n non_uniform
012401.83-004447.4 n boss_core
012409.39-004958.1 y boss_core
012420.20-004100.5 n non_uniform
012438.76+000854.4 n boss_core
